date,draw_id,n1,n2,n3,n4,n5,n6,power
31/03/2026,01326,15,16,22,38,43,48,11
28/03/2026,01325,07,13,21,30,33,42,39
26/03/2026,01324,03,09,10,34,38,44,51
24/03/2026,01323,12,19,25,26,32,45,03
21/03/2026,01322,01,06,40,43,47,53,03
19/03/2026,01321,07,09,17,31,34,36,55
17/03/2026,01320,12,26,28,43,50,54,52
14/03/2026,01319,07,16,27,29,47,52,26
12/03/2026,01318,12,28,36,40,53,55,54
10/03/2026,01317,03,26,31,39,47,54,20
07/03/2026,01316,04,32,41,45,50,52,29
05/03/2026,01315,14,16,35,38,43,51,37
03/03/2026,01314,07,13,27,29,43,50,25
28/02/2026,01313,22,25,31,44,51,54,36
26/02/2026,01312,01,07,10,21,44,51,46
24/02/2026,01311,05,08,18,30,39,54,51
21/02/2026,01310,05,07,26,30,41,45,12
19/02/2026,01309,01,27,30,43,45,46,48
14/02/2026,01308,02,13,26,32,36,42,48
12/02/2026,01307,08,17,19,31,32,46,26
10/02/2026,01306,13,21,22,26,32,55,20
07/02/2026,01305,03,05,13,15,29,46,01
05/02/2026,01304,07,13,16,25,26,55,09
03/02/2026,01303,12,15,18,22,48,53,45
31/01/2026,01302,10,11,14,17,49,53,04
29/01/2026,01301,11,15,22,32,34,54,28
27/01/2026,01300,13,22,32,42,53,54,29
24/01/2026,01299,14,24,25,30,35,53,18
22/01/2026,01298,02,20,21,29,36,50,05
20/01/2026,01297,04,20,26,28,37,41,32
17/01/2026,01296,14,21,23,25,46,48,54
15/01/2026,01295,13,21,31,34,48,55,27
13/01/2026,01294,03,12,25,51,52,55,43
10/01/2026,01293,09,16,30,33,34,38,49
08/01/2026,01292,20,22,36,43,45,50,47
06/01/2026,01291,22,28,29,30,34,47,20
03/01/2026,01290,10,16,17,23,33,36,42
01/01/2026,01289,05,16,29,33,39,42,54
30/12/2025,01288,11,30,35,41,48,55,38
27/12/2025,01287,16,21,30,37,39,40,13
25/12/2025,01286,04,06,32,37,40,48,38
23/12/2025,01285,02,10,16,25,32,38,03
20/12/2025,01284,22,32,33,35,40,41,23
18/12/2025,01283,12,14,29,30,39,55,50
16/12/2025,01282,07,36,37,38,52,55,46
13/12/2025,01281,05,08,12,18,20,38,52
11/12/2025,01280,09,13,21,45,48,55,38
09/12/2025,01279,14,21,26,27,31,43,42
06/12/2025,01278,12,26,34,37,50,52,15
04/12/2025,01277,10,29,32,33,44,53,14
02/12/2025,01276,16,20,24,36,51,54,10
29/11/2025,01275,04,20,24,27,40,48,09
27/11/2025,01274,04,05,10,11,28,35,38
25/11/2025,01273,23,31,32,42,46,48,04
22/11/2025,01272,08,10,19,29,34,46,14
20/11/2025,01271,03,12,19,20,31,42,13
18/11/2025,01270,07,12,18,22,30,49,05
15/11/2025,01269,02,30,33,35,42,54,45
13/11/2025,01268,01,15,30,38,40,43,13
11/11/2025,01267,11,20,28,41,47,54,31
08/11/2025,01266,14,16,19,22,27,44,18
06/11/2025,01265,16,20,29,33,36,49,06
04/11/2025,01264,15,27,29,31,36,43,38
01/11/2025,01263,07,11,28,29,31,33,08
30/10/2025,01262,20,23,35,41,47,55,37
28/10/2025,01261,06,08,10,22,25,54,09
25/10/2025,01260,03,05,11,13,24,27,45
23/10/2025,01259,08,10,21,48,49,50,40
21/10/2025,01258,03,11,12,14,22,40,41
18/10/2025,01257,05,16,19,21,38,43,50
16/10/2025,01256,14,15,24,26,27,45,36
14/10/2025,01255,08,09,16,26,37,55,12
11/10/2025,01254,03,07,26,43,44,46,25
09/10/2025,01253,07,11,21,22,39,42,40
07/10/2025,01252,19,22,35,37,43,45,29
04/10/2025,01251,22,33,35,36,38,40,07
02/10/2025,01250,01,02,20,24,27,42,43
30/09/2025,01249,17,23,34,39,46,52,08
27/09/2025,01248,08,13,19,24,39,46,01
25/09/2025,01247,05,17,30,31,38,53,08
23/09/2025,01246,08,18,19,34,41,46,38
20/09/2025,01245,08,13,14,19,36,43,30
18/09/2025,01244,02,03,08,27,38,55,20
16/09/2025,01243,17,19,28,39,43,53,33
13/09/2025,01242,02,07,15,18,24,27,45
11/09/2025,01241,06,16,46,49,51,55,42
09/09/2025,01240,16,20,21,31,40,52,02
06/09/2025,01239,09,11,19,22,34,43,31
04/09/2025,01238,09,19,23,42,49,53,40
02/09/2025,01237,09,16,22,25,30,51,43
30/08/2025,01236,02,17,19,24,30,44,34
28/08/2025,01235,06,13,28,30,35,52,50
26/08/2025,01234,22,30,38,44,48,55,05
23/08/2025,01233,01,09,26,34,44,50,52
21/08/2025,01232,05,09,17,35,40,41,44
19/08/2025,01231,01,14,31,34,36,47,45
16/08/2025,01230,14,23,32,36,47,48,05
14/08/2025,01229,06,10,17,18,32,35,53
12/08/2025,01228,01,06,24,37,40,55,10
09/08/2025,01227,05,09,16,36,43,51,19
07/08/2025,01226,06,24,31,32,39,48,52
05/08/2025,01225,08,41,45,51,52,53,31
02/08/2025,01224,12,24,29,33,34,35,47
31/07/2025,01223,05,17,31,42,46,49,37
29/07/2025,01222,04,08,23,43,45,51,48
26/07/2025,01221,05,26,28,29,33,54,34
24/07/2025,01220,05,10,24,29,30,34,45
22/07/2025,01219,09,10,15,28,33,44,22
19/07/2025,01218,08,09,20,36,39,44,28
17/07/2025,01217,13,18,33,40,48,53,54
15/07/2025,01216,18,26,31,32,36,48,30
12/07/2025,01215,02,34,39,41,45,52,51
10/07/2025,01214,12,33,34,42,44,53,03
08/07/2025,01213,23,24,32,42,48,50,31
05/07/2025,01212,03,15,22,45,51,55,54
03/07/2025,01211,18,19,29,31,45,54,27
01/07/2025,01210,03,11,12,14,27,33,15
28/06/2025,01209,08,11,13,20,45,50,25
26/06/2025,01208,01,14,16,27,40,51,02
24/06/2025,01207,03,09,18,20,30,53,48
21/06/2025,01206,06,10,15,43,44,53,32
19/06/2025,01205,03,05,09,10,16,47,34
17/06/2025,01204,07,13,18,22,32,44,43
14/06/2025,01203,11,12,22,26,41,47,24
12/06/2025,01202,06,08,16,18,34,44,17
10/06/2025,01201,03,06,21,29,40,41,37
07/06/2025,01200,12,17,21,46,48,52,45
05/06/2025,01199,14,21,33,37,46,49,34
03/06/2025,01198,02,11,14,16,27,38,51
31/05/2025,01197,06,24,41,45,49,55,08
29/05/2025,01196,09,37,42,45,46,50,14
27/05/2025,01195,04,12,18,19,44,48,42
24/05/2025,01194,19,20,27,30,45,55,15
22/05/2025,01193,03,09,14,41,47,55,22
20/05/2025,01192,19,27,44,45,47,52,15
17/05/2025,01191,02,07,26,29,41,50,43
15/05/2025,01190,06,09,13,44,49,54,47
13/05/2025,01189,03,07,24,39,54,55,42
10/05/2025,01188,07,16,19,28,34,51,15
08/05/2025,01187,08,14,29,37,39,50,21
06/05/2025,01186,12,16,25,28,30,39,05
03/05/2025,01185,15,19,21,26,42,47,38
01/05/2025,01184,03,17,19,41,45,50,43
29/04/2025,01183,14,15,18,23,28,33,29
26/04/2025,01182,03,15,16,31,48,52,21
24/04/2025,01181,01,02,15,39,40,47,24
22/04/2025,01180,10,25,37,40,41,48,32
19/04/2025,01179,05,11,15,32,42,49,43
17/04/2025,01178,01,17,20,38,41,52,14
15/04/2025,01177,08,23,24,27,42,49,20
12/04/2025,01176,03,14,19,37,42,55,23
10/04/2025,01175,10,13,36,37,40,43,41
08/04/2025,01174,03,07,34,41,43,53,31
05/04/2025,01173,13,23,29,32,41,42,09
03/04/2025,01172,24,26,34,42,50,51,30
01/04/2025,01171,14,15,29,33,39,47,04
29/03/2025,01170,14,19,21,24,26,48,39
27/03/2025,01169,13,25,32,36,41,53,29
25/03/2025,01168,14,23,29,30,35,40,17
22/03/2025,01167,02,23,42,50,52,54,44
20/03/2025,01166,11,13,24,28,36,41,37
18/03/2025,01165,02,08,29,30,50,55,27
15/03/2025,01164,01,34,39,40,42,50,25
13/03/2025,01163,07,13,21,43,52,53,17
11/03/2025,01162,01,16,18,30,31,44,34
08/03/2025,01161,10,38,41,43,45,48,08
06/03/2025,01160,05,10,21,26,43,51,15
04/03/2025,01159,05,14,27,43,45,53,47
01/03/2025,01158,15,17,34,37,39,45,41
27/02/2025,01157,05,09,21,31,43,53,11
25/02/2025,01156,01,07,11,24,29,30,48
22/02/2025,01155,01,02,07,22,23,46,50
20/02/2025,01154,13,17,20,27,36,54,47
18/02/2025,01153,12,13,30,38,40,47,42
15/02/2025,01152,22,37,38,47,51,55,31
13/02/2025,01151,02,08,23,26,42,47,07
11/02/2025,01150,01,09,18,21,35,40,44
08/02/2025,01149,11,22,28,44,48,49,23
06/02/2025,01148,01,11,31,43,48,54,19
04/02/2025,01147,07,17,29,51,52,55,41
01/02/2025,01146,01,20,34,38,45,47,49
30/01/2025,01145,05,08,24,28,34,52,39
25/01/2025,01144,14,21,40,42,48,51,19
23/01/2025,01143,11,18,22,49,50,51,37
21/01/2025,01142,11,18,22,28,51,52,53
18/01/2025,01141,01,03,26,31,37,41,51
16/01/2025,01140,08,16,34,37,47,50,23
14/01/2025,01139,03,11,12,24,33,40,46
11/01/2025,01138,10,25,26,29,37,46,14
09/01/2025,01137,18,21,31,39,50,53,13
07/01/2025,01136,04,05,09,16,22,39,30
04/01/2025,01135,04,10,30,36,40,53,51
02/01/2025,01134,04,10,18,22,41,45,50
31/12/2024,01133,08,13,29,36,42,43,28
28/12/2024,01132,06,19,36,42,53,55,39
26/12/2024,01131,06,18,33,38,41,48,16
24/12/2024,01130,17,20,27,32,44,51,33
21/12/2024,01129,04,16,29,30,35,51,48
19/12/2024,01128,13,16,32,39,49,51,11
17/12/2024,01127,02,14,27,30,53,54,16
14/12/2024,01126,03,10,19,20,21,24,07
12/12/2024,01125,01,09,12,18,37,44,11
10/12/2024,01124,11,15,26,45,52,55,36
07/12/2024,01123,16,17,22,24,29,37,54
05/12/2024,01122,16,21,29,41,42,47,09
03/12/2024,01121,10,19,33,39,47,54,16
30/11/2024,01120,01,20,24,26,38,41,36
28/11/2024,01119,01,16,24,28,38,53,09
26/11/2024,01118,08,11,16,32,40,43,12
23/11/2024,01117,04,12,25,39,48,51,45
21/11/2024,01116,15,22,31,40,42,51,26
19/11/2024,01115,06,10,17,34,41,48,31
16/11/2024,01114,16,22,33,37,39,51,54
14/11/2024,01113,12,25,37,40,49,52,31
12/11/2024,01112,01,21,29,35,41,45,20
09/11/2024,01111,11,14,24,26,34,51,40
07/11/2024,01110,06,09,33,39,50,51,43
05/11/2024,01109,09,31,36,46,49,54,07
02/11/2024,01108,02,09,19,20,34,54,26
31/10/2024,01107,05,16,20,29,30,31,39
29/10/2024,01106,14,17,19,28,47,51,55
26/10/2024,01105,05,19,27,29,42,47,40
24/10/2024,01104,05,17,31,39,46,53,03
22/10/2024,01103,15,21,23,26,31,43,35
19/10/2024,01102,09,22,31,39,43,51,19
17/10/2024,01101,11,14,15,26,38,41,25
15/10/2024,01100,04,25,41,42,46,52,33
12/10/2024,01099,29,34,35,38,50,51,37
10/10/2024,01098,04,05,06,29,32,44,53
08/10/2024,01097,03,07,14,17,48,50,40
05/10/2024,01096,02,10,17,27,50,52,18
03/10/2024,01095,18,21,34,40,42,53,25
01/10/2024,01094,03,18,22,41,43,44,12
28/09/2024,01093,02,11,13,32,41,48,15
26/09/2024,01092,03,18,29,39,41,49,46
24/09/2024,01091,01,06,11,17,24,31,43
21/09/2024,01090,03,08,09,22,26,55,11
19/09/2024,01089,04,09,22,24,45,54,48
17/09/2024,01088,14,32,34,41,47,54,48
14/09/2024,01087,02,12,25,32,51,54,34
12/09/2024,01086,03,08,31,36,39,47,38
10/09/2024,01085,15,23,37,38,45,49,30
07/09/2024,01084,05,11,20,39,46,53,37
05/09/2024,01083,15,20,23,29,34,46,01
03/09/2024,01082,08,10,11,14,38,48,41
31/08/2024,01081,24,33,38,40,42,51,28
29/08/2024,01080,08,11,21,29,38,55,12
27/08/2024,01079,05,06,29,31,37,48,02
24/08/2024,01078,02,17,20,21,22,23,38
22/08/2024,01077,11,18,20,32,41,46,33
20/08/2024,01076,05,24,26,27,29,54,06
