draw_id,date,jackpot1_w,g1_w,g2_w,g3_w
01043,17/05/2023,0,42,1593,27413
01044,19/05/2023,0,39,1920,32035
01045,21/05/2023,0,33,1828,31645
01046,24/05/2023,0,73,2689,41076
01047,26/05/2023,3,87,2817,41078
01048,28/05/2023,0,22,921,14312
01049,31/05/2023,0,24,921,15416
01050,02/06/2023,1,16,991,15166
01051,04/06/2023,0,19,843,13135
01052,07/06/2023,0,16,846,14316
01053,09/06/2023,0,11,689,12670
01054,11/06/2023,0,12,833,14398
01055,14/06/2023,0,26,840,14904
01056,16/06/2023,0,18,752,14755
01057,18/06/2023,0,20,1139,18221
01058,21/06/2023,0,30,1230,19496
01059,23/06/2023,0,16,1014,18005
01060,25/06/2023,0,23,1136,18632
01061,28/06/2023,0,14,1111,18665
01062,30/06/2023,0,12,1209,20188
01063,02/07/2023,0,32,1312,21204
01064,05/07/2023,1,43,1416,22382
01065,07/07/2023,0,13,868,14005
01066,09/07/2023,0,13,781,13223
01067,12/07/2023,0,21,969,16206
01068,14/07/2023,0,20,1121,17512
01069,16/07/2023,0,31,1091,17479
01070,19/07/2023,0,28,1363,20160
01071,21/07/2023,0,16,1045,18342
01072,23/07/2023,0,17,1247,18637
01073,26/07/2023,0,29,1387,19982
01074,28/07/2023,0,26,1322,21684
01075,30/07/2023,0,29,1374,22570
01076,02/08/2023,1,29,1422,24052
01077,04/08/2023,0,22,981,14777
01078,06/08/2023,0,21,846,14809
01079,09/08/2023,0,17,920,16081
01080,11/08/2023,0,15,878,16499
01081,13/08/2023,1,23,1221,19433
01082,16/08/2023,0,22,1032,16053
01083,18/08/2023,1,19,873,15379
01084,20/08/2023,0,14,944,14900
01085,23/08/2023,0,16,1003,16013
01086,25/08/2023,0,28,1022,15753
01087,27/08/2023,0,22,915,13906
01088,30/08/2023,0,12,902,14993
01089,01/09/2023,0,9,807,13892
01090,03/09/2023,0,18,926,14065
01091,06/09/2023,0,24,1034,16790
01092,08/09/2023,0,24,982,15925
01093,10/09/2023,0,15,978,16787
01094,13/09/2023,0,36,1325,18682
01095,15/09/2023,0,17,1078,17324
01096,17/09/2023,0,21,1096,18528
01097,20/09/2023,0,25,956,16563
01098,22/09/2023,0,13,900,16120
01099,24/09/2023,0,20,1193,18611
01100,27/09/2023,1,29,1129,18857
01101,29/09/2023,0,13,651,11036
01102,01/10/2023,1,69,1131,12621
01103,04/10/2023,0,19,664,11120
01104,06/10/2023,0,16,716,14075
01105,08/10/2023,0,19,894,14274
01106,11/10/2023,0,28,890,15074
01107,13/10/2023,0,32,1112,16382
01108,15/10/2023,0,34,1049,17430
01109,18/10/2023,0,32,1185,21085
01110,20/10/2023,0,22,1090,18888
01111,22/10/2023,0,24,1036,18926
01112,25/10/2023,0,27,1103,19349
01113,27/10/2023,0,38,1360,21741
01114,29/10/2023,0,14,1220,20921
01115,01/11/2023,0,28,1456,24163
01116,03/11/2023,0,40,1708,25289
01117,05/11/2023,0,23,1176,20837
01118,08/11/2023,0,41,1735,27071
01119,10/11/2023,0,32,1691,28670
01120,12/11/2023,0,38,1980,31624
01121,15/11/2023,0,36,2145,36946
01122,17/11/2023,0,31,1791,33459
01123,19/11/2023,0,47,2073,35516
01124,22/11/2023,0,81,2939,48074
01125,24/11/2023,1,70,2741,43210
01126,26/11/2023,0,26,1218,17986
01127,29/11/2023,0,19,902,15645
01128,01/12/2023,0,19,1179,18148
01129,03/12/2023,0,31,885,15157
01130,06/12/2023,0,10,894,16142
01131,08/12/2023,0,23,912,16652
01132,10/12/2023,0,22,1076,19183
01133,13/12/2023,0,25,1382,21758
01134,15/12/2023,0,40,1465,20354
01135,17/12/2023,1,17,1056,18834
01136,20/12/2023,0,15,835,13218
01137,22/12/2023,0,29,912,14135
01138,24/12/2023,0,12,734,13608
01139,27/12/2023,0,22,1018,16768
01140,29/12/2023,0,18,939,15581
01141,31/12/2023,0,20,1124,18011
01142,03/01/2024,0,28,1324,19661
01143,05/01/2024,0,22,1071,17918
01144,07/01/2024,0,31,1396,20874
01145,10/01/2024,0,31,1305,21858
01146,12/01/2024,0,31,1302,22486
01147,14/01/2024,0,37,1509,23263
01148,17/01/2024,0,16,1395,23438
01149,19/01/2024,1,27,1397,24768
01150,21/01/2024,0,19,818,14040
01151,24/01/2024,0,22,1024,16352
01152,26/01/2024,0,23,955,15485
01153,28/01/2024,0,19,956,16299
01154,31/01/2024,0,26,1174,18807
01155,02/02/2024,0,14,861,16457
01156,04/02/2024,0,40,1386,21404
